date,trades,accounts,coins,volume_usd,gross_pnl,fees,net_pnl,win_rate,value,classification,sentiment_bucket
2024-05-14,23,1,1,145853.4,1150.5233050000002,51.048685,1099.4746200000002,0.17391304347826086,66.0,Greed,"(48.0, 67.0]"
2024-05-15,36,1,1,234922.57,948.970582,82.222887,866.747695,0.4722222222222222,64.0,Greed,"(48.0, 67.0]"
2024-05-16,27,2,2,162620.96,214.5898,56.91732,157.67248,0.18518518518518517,70.0,Greed,"(67.0, 74.0]"
2024-05-18,25,1,1,126303.14,3522.3946610000003,44.206092,3478.188569,0.64,73.0,Greed,"(67.0, 74.0]"
2024-05-19,8,1,1,29998.09,0.0,10.499327000000001,-10.499327000000001,0.0,72.0,Greed,"(67.0, 74.0]"
2024-05-20,10,2,2,38124.75,-74.818442,13.343662,-88.162104,0.0,70.0,Greed,"(67.0, 74.0]"
2024-05-21,125,2,3,1100948.59,7289.397571999999,385.331944,6904.065627999999,0.112,76.0,Extreme Greed,"(74.0, 94.0]"
2024-05-22,6,1,1,44995.29,0.0,15.748349000000001,-15.748349000000001,0.0,76.0,Extreme Greed,"(74.0, 94.0]"
2024-05-23,325,3,7,401850.6,413.347329,113.43007899999999,299.91725,0.4461538461538462,76.0,Extreme Greed,"(74.0, 94.0]"
2024-05-24,2,1,1,50811.899999999994,821.949278,17.784165,804.165113,1.0,74.0,Greed,"(67.0, 74.0]"
2024-05-25,16,2,2,29991.129999999997,14.126038999999999,10.246887000000001,3.879151999999998,0.3125,76.0,Extreme Greed,"(74.0, 94.0]"
2024-05-26,16,2,4,53976.67,778.6839,18.768190999999998,759.915709,0.25,75.0,Extreme Greed,"(74.0, 94.0]"
2024-05-27,251,1,5,151115.72,1129.35587,45.832466,1083.523404,0.35856573705179284,74.0,Greed,"(67.0, 74.0]"
2024-05-29,164,2,15,84268.76,277.791953,36.876599,240.915354,0.4146341463414634,72.0,Greed,"(67.0, 74.0]"
2024-05-30,7,1,5,2838.09,20.951433,0.993326,19.958107,0.7142857142857143,73.0,Greed,"(67.0, 74.0]"
2024-05-31,13,1,3,3636.14,25.35812,1.272646,24.085473999999998,0.3076923076923077,73.0,Greed,"(67.0, 74.0]"
2024-06-01,25,1,3,12834.62,91.510419,4.492106,87.018313,0.36,72.0,Greed,"(67.0, 74.0]"
2024-06-02,93,1,2,29464.51,192.906947,7.792912,185.114035,0.3655913978494624,73.0,Greed,"(67.0, 74.0]"
2024-06-03,70,1,2,21466.86,562.808208,5.378086,557.430122,0.6285714285714286,73.0,Greed,"(67.0, 74.0]"
2024-06-04,53,1,4,24243.41,52.211438,7.432953,44.778485,0.4716981132075472,73.0,Greed,"(67.0, 74.0]"
2024-06-05,54,1,3,25350.77,56.055506,7.1040600000000005,48.951446000000004,0.2962962962962963,75.0,Extreme Greed,"(74.0, 94.0]"
2024-06-06,234,1,5,137557.76,274.173187,37.079424,237.093763,0.42735042735042733,78.0,Extreme Greed,"(74.0, 94.0]"
2024-06-07,440,3,6,1098588.76,8902.467416,372.962664,8529.504751999999,0.4,77.0,Extreme Greed,"(74.0, 94.0]"
2024-06-08,29,2,4,97351.88,129.13883900000002,34.073137,95.065702,0.27586206896551724,72.0,Greed,"(67.0, 74.0]"
2024-06-09,17,2,2,22410.22,0.0,7.515775,-7.515775,0.0,75.0,Extreme Greed,"(74.0, 94.0]"
2024-06-10,53,2,3,46587.93,31.266804999999998,14.696328000000001,16.570477,0.33962264150943394,72.0,Greed,"(67.0, 74.0]"
2024-06-11,123,3,7,373279.92,4320.631811,129.928213,4190.703598,0.13821138211382114,74.0,Greed,"(67.0, 74.0]"
